Date,Open,High,Low,Close,Adj  Close,Volume 
2017-10-13 20:59:59,8e-05,0.001,8e-05,0.000123,0.000123,1860381.0
2017-10-14 20:59:59,0.00011009,0.0001333,0.00010551,0.000117,0.000117,979171.0
2017-10-15 21:59:59,0.00011701,0.0001257,0.00010154,0.000113,0.000113,768587.0
2017-10-16 21:59:59,0.000113,0.00013327,0.000102,0.00010214,0.00010214,1031577.0
2017-10-17 21:59:59,0.000104,0.00010999,8.8e-05,9e-05,9e-05,743188.0
2017-10-18 21:59:59,9.004e-05,0.000108,8.307e-05,9.1e-05,9.1e-05,787566.0
2017-10-19 21:59:59,8.952e-05,9.649e-05,8.044e-05,9.299e-05,9.299e-05,590732.0
2017-10-20 21:59:59,9.299e-05,9.3e-05,6.7e-05,7.999e-05,7.999e-05,804106.0
2017-10-21 21:59:59,7.686e-05,7.988e-05,6.6e-05,6.944e-05,6.944e-05,381836.0
2017-10-22 21:59:59,6.944e-05,7.9e-05,6.566e-05,6.576e-05,6.576e-05,384670.0
2017-10-23 21:59:59,6.583e-05,7.399e-05,6.313e-05,6.387e-05,6.387e-05,308528.0
2017-10-24 21:59:59,6.433e-05,8e-05,6.335e-05,7.999e-05,7.999e-05,590016.0
2017-10-25 21:59:59,7.999e-05,9.2e-05,7.367e-05,8e-05,8e-05,1006100.0
2017-10-26 21:59:59,7.999e-05,8.257e-05,7.415e-05,7.843e-05,7.843e-05,346020.0
2017-10-27 21:59:59,7.9e-05,8.177e-05,7.051e-05,7.373e-05,7.373e-05,186649.0
2017-10-28 21:59:59,7.409e-05,7.6e-05,6.907e-05,7e-05,7e-05,205700.0
2017-10-29 21:59:59,7.001e-05,7.124e-05,6.425e-05,6.425e-05,6.425e-05,276363.0
2017-10-30 21:59:59,6.43e-05,6.735e-05,6.117e-05,6.313e-05,6.313e-05,267630.0
2017-10-31 21:59:59,6.319e-05,6.706e-05,5.623e-05,5.623e-05,5.623e-05,394512.0
2017-11-01 21:59:59,6.191e-05,6.5e-05,5.1e-05,5.1e-05,5.1e-05,485025.0
2017-11-02 21:59:59,5.102e-05,5.441e-05,4.284e-05,5.126e-05,5.126e-05,432980.0
2017-11-03 21:59:59,4.851e-05,5.518e-05,4.638e-05,5.006e-05,5.006e-05,316854.0
2017-11-04 21:59:59,5.02e-05,5.45e-05,5.019e-05,5.29e-05,5.29e-05,126554.0
2017-11-05 21:59:59,5.29e-05,5.295e-05,4.75e-05,5.01e-05,5.01e-05,267386.0
2017-11-06 21:59:59,4.827e-05,5.586e-05,4.752e-05,5.586e-05,5.586e-05,508819.0
2017-11-07 21:59:59,5.579e-05,5.929e-05,5.105e-05,5.501e-05,5.501e-05,905619.0
2017-11-08 21:59:59,5.516e-05,6.5e-05,5.317e-05,5.876e-05,5.876e-05,1077851.0
2017-11-09 21:59:59,6.113e-05,7.37e-05,5.833e-05,7.37e-05,7.37e-05,1221467.0
2017-11-10 21:59:59,7.371e-05,7.395e-05,6.356e-05,6.402e-05,6.402e-05,1412030.0
2017-11-11 21:59:59,6.401e-05,7.101e-05,6.356e-05,6.511e-05,6.511e-05,1150748.0
2017-11-12 21:59:59,6.768e-05,6.977e-05,5.124e-05,6.559e-05,6.559e-05,1137809.0
2017-11-13 21:59:59,6.79e-05,6.951e-05,6.231e-05,6.391e-05,6.391e-05,1630493.0
2017-11-14 21:59:59,6.39e-05,6.654e-05,5.503e-05,6.327e-05,6.327e-05,1221053.0
2017-11-15 21:59:59,6.152e-05,6.55e-05,4.802e-05,5.185e-05,5.185e-05,1369666.0
2017-11-16 21:59:59,5e-05,5.564e-05,4.8e-05,4.982e-05,4.982e-05,1712109.0
2017-11-17 21:59:59,4.972e-05,5.397e-05,4.19e-05,5.367e-05,5.367e-05,1491419.0
2017-11-18 21:59:59,5.26e-05,5.499e-05,4.572e-05,5.156e-05,5.156e-05,1304312.0
2017-11-19 21:59:59,5.05e-05,5.499e-05,4.842e-05,4.846e-05,4.846e-05,1392857.0
2017-11-20 21:59:59,4.846e-05,5.113e-05,4.56e-05,4.647e-05,4.647e-05,1398900.0
2017-11-21 21:59:59,4.705e-05,5.798e-05,4.531e-05,5.492e-05,5.492e-05,1658344.0
2017-11-22 21:59:59,5.245e-05,7.75e-05,4.8e-05,6.977e-05,6.977e-05,5530267.0
2017-11-23 21:59:59,6.974e-05,6.974e-05,5.55e-05,6.532e-05,6.532e-05,2052872.0
2017-11-24 21:59:59,6.572e-05,6.753e-05,5.23e-05,6.379e-05,6.379e-05,1665572.0
2017-11-25 21:59:59,6.378e-05,6.386e-05,5.47e-05,5.596e-05,5.596e-05,1237739.0
2017-11-26 21:59:59,5.597e-05,6.096e-05,4.8e-05,5.151e-05,5.151e-05,1134650.0
2017-11-27 21:59:59,5.174e-05,5.489e-05,4.682e-05,4.948e-05,4.948e-05,660612.0
2017-11-28 21:59:59,4.946e-05,5.2e-05,4.605e-05,4.836e-05,4.836e-05,719108.0
2017-11-29 21:59:59,4.741e-05,6.939e-05,4.345e-05,6.9e-05,6.9e-05,1296843.0
2017-11-30 21:59:59,6.9e-05,9.146e-05,5.318e-05,7.142e-05,7.142e-05,14008431.0
2017-12-01 21:59:59,7.102e-05,7.35e-05,5.696e-05,5.951e-05,5.951e-05,1366831.0
2017-12-02 21:59:59,5.896e-05,6.065e-05,5.246e-05,5.474e-05,5.474e-05,1018720.0
2017-12-03 21:59:59,5.428e-05,5.488e-05,5.04e-05,5.14e-05,5.14e-05,795713.0
2017-12-04 21:59:59,5.072e-05,6.601e-05,5.041e-05,6.165e-05,6.165e-05,2899047.0
2017-12-05 21:59:59,6.109e-05,6.199e-05,5.15e-05,5.603e-05,5.603e-05,1326318.0
2017-12-06 21:59:59,5.603e-05,5.644e-05,4.529e-05,4.545e-05,4.545e-05,1704911.0
