Date,Open,High,Low,Close,Adj  Close,Volume 
2018-03-29 20:59:59,1.8e-05,2.488e-05,1.333e-05,1.383e-05,1.383e-05,145003862.0
2018-03-30 20:59:59,1.383e-05,1.487e-05,1.293e-05,1.314e-05,1.314e-05,43086112.0
2018-03-31 20:59:59,1.314e-05,1.387e-05,1.241e-05,1.321e-05,1.321e-05,33682474.0
2018-04-01 20:59:59,1.324e-05,1.37e-05,1.221e-05,1.296e-05,1.296e-05,13654917.0
2018-04-02 20:59:59,1.295e-05,1.329e-05,1.23e-05,1.258e-05,1.258e-05,14526286.0
2018-04-03 20:59:59,1.263e-05,1.365e-05,1.226e-05,1.325e-05,1.325e-05,35181791.0
2018-04-04 20:59:59,1.322e-05,1.335e-05,1.183e-05,1.214e-05,1.214e-05,19148215.0
2018-04-05 20:59:59,1.211e-05,1.242e-05,1.146e-05,1.166e-05,1.166e-05,14657173.0
2018-04-06 20:59:59,1.167e-05,1.33e-05,1.145e-05,1.246e-05,1.246e-05,58777824.0
2018-04-07 20:59:59,1.244e-05,1.273e-05,1.162e-05,1.221e-05,1.221e-05,23037832.0
2018-04-08 20:59:59,1.221e-05,1.221e-05,1.172e-05,1.198e-05,1.198e-05,8008459.0
2018-04-09 20:59:59,1.198e-05,1.24e-05,1.166e-05,1.184e-05,1.184e-05,8230071.0
2018-04-10 20:59:59,1.185e-05,1.277e-05,1.17e-05,1.23e-05,1.23e-05,17022006.0
2018-04-11 20:59:59,1.229e-05,1.287e-05,1.201e-05,1.253e-05,1.253e-05,21795925.0
2018-04-12 20:59:59,1.253e-05,1.313e-05,1.18e-05,1.272e-05,1.272e-05,28233534.0
2018-04-13 20:59:59,1.274e-05,1.435e-05,1.243e-05,1.316e-05,1.316e-05,46773127.0
2018-04-14 20:59:59,1.318e-05,1.432e-05,1.305e-05,1.374e-05,1.374e-05,21521303.0
2018-04-15 20:59:59,1.372e-05,1.545e-05,1.336e-05,1.511e-05,1.511e-05,47862169.0
2018-04-16 20:59:59,1.511e-05,1.66e-05,1.45e-05,1.597e-05,1.597e-05,70090150.0
2018-04-17 20:59:59,1.598e-05,1.769e-05,1.541e-05,1.557e-05,1.557e-05,55614752.0
2018-04-18 20:59:59,1.558e-05,1.623e-05,1.515e-05,1.591e-05,1.591e-05,33438538.0
2018-04-19 20:59:59,1.592e-05,1.743e-05,1.559e-05,1.691e-05,1.691e-05,44216275.0
2018-04-20 20:59:59,1.686e-05,1.725e-05,1.57e-05,1.603e-05,1.603e-05,33616205.0
2018-04-21 20:59:59,1.602e-05,1.612e-05,1.42e-05,1.508e-05,1.508e-05,23581788.0
2018-04-22 20:59:59,1.509e-05,1.67e-05,1.45e-05,1.606e-05,1.606e-05,28648096.0
2018-04-23 20:59:59,1.607e-05,1.905e-05,1.597e-05,1.757e-05,1.757e-05,51309554.0
2018-04-24 20:59:59,1.758e-05,1.787e-05,1.631e-05,1.642e-05,1.642e-05,25759990.0
2018-04-25 20:59:59,1.642e-05,1.72e-05,1.476e-05,1.601e-05,1.601e-05,28142980.0
2018-04-26 20:59:59,1.607e-05,1.708e-05,1.561e-05,1.66e-05,1.66e-05,18807976.0
2018-04-27 20:59:59,1.658e-05,1.736e-05,1.62e-05,1.637e-05,1.637e-05,17825087.0
2018-04-28 20:59:59,1.637e-05,1.758e-05,1.627e-05,1.703e-05,1.703e-05,20260779.0
2018-04-29 20:59:59,1.704e-05,1.798e-05,1.62e-05,1.781e-05,1.781e-05,28751596.0
2018-04-30 20:59:59,1.785e-05,1.785e-05,1.637e-05,1.696e-05,1.696e-05,40533565.0
2018-05-01 20:59:59,1.696e-05,1.71e-05,1.545e-05,1.67e-05,1.67e-05,22778053.0
2018-05-02 20:59:59,1.67e-05,1.766e-05,1.655e-05,1.704e-05,1.704e-05,31546918.0
2018-05-03 20:59:59,1.703e-05,1.732e-05,1.602e-05,1.618e-05,1.618e-05,25701969.0
2018-05-04 20:59:59,1.618e-05,1.684e-05,1.489e-05,1.528e-05,1.528e-05,18272859.0
2018-05-05 20:59:59,1.532e-05,1.572e-05,1.455e-05,1.54e-05,1.54e-05,18335383.0
2018-05-06 20:59:59,1.543e-05,1.677e-05,1.501e-05,1.563e-05,1.563e-05,33080978.0
2018-05-07 20:59:59,1.56e-05,1.63e-05,1.495e-05,1.536e-05,1.536e-05,30224822.0
2018-05-08 20:59:59,1.538e-05,1.549e-05,1.464e-05,1.478e-05,1.478e-05,21919747.0
2018-05-09 20:59:59,1.478e-05,1.485e-05,1.357e-05,1.368e-05,1.368e-05,20030965.0
2018-05-10 20:59:59,1.368e-05,1.431e-05,1.29e-05,1.293e-05,1.293e-05,18755897.0
2018-05-11 20:59:59,1.292e-05,1.321e-05,1.169e-05,1.24e-05,1.24e-05,18097648.0
2018-05-12 20:59:59,1.243e-05,1.307e-05,1.162e-05,1.272e-05,1.272e-05,11251265.0
2018-05-13 20:59:59,1.27e-05,1.34e-05,1.239e-05,1.315e-05,1.315e-05,9758177.0
2018-05-14 20:59:59,1.315e-05,1.34e-05,1.25e-05,1.302e-05,1.302e-05,12528097.0
2018-05-15 20:59:59,1.301e-05,1.353e-05,1.271e-05,1.325e-05,1.325e-05,13942849.0
2018-05-16 20:59:59,1.329e-05,1.358e-05,1.273e-05,1.293e-05,1.293e-05,10656589.0
2018-05-17 20:59:59,1.291e-05,1.319e-05,1.213e-05,1.223e-05,1.223e-05,9494636.0
2018-05-18 20:59:59,1.227e-05,1.248e-05,1.197e-05,1.226e-05,1.226e-05,7062047.0
